"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"GenericTest\EFICompliantTest","35","20","15"
"BootServicesTest\EventTimerandPriorityServicesTest","34","1","33"
"BootServicesTest\MemoryAllocationServicesTest","102","0","102"
"BootServicesTest\ProtocolHandlerServicesTest","1216","0","1216"
"BootServicesTest\ImageServicesTest","125","0","125"
"BootServicesTest\MiscBootServicesTest","132","12","120"
"RuntimeServicesTest\VariableServicesTest","57","6","51"
"RuntimeServicesTest\TimeServicesTest","41","7","34"
"RuntimeServicesTest\MiscRuntimeServicesTest","12","6","6"
"LoadedImageProtocolTest","2647","0","2647"
"DevicePathProcotols\DevicePathProcotolTest","54","0","54"
"DevicePathProcotols\DevicePathUtilitiesProcotolTest","21","0","21"
"DevicePathProcotols\DevicePathToTextProcotolTest","55","0","55"
"DevicePathProcotols\DevicePathFromTextProcotolTest","62","0","62"
"DriverModelTest\DriverDiagnostics2ProtocolTest","7","0","7"
"DriverModelTest\ComponentName2ProtocolTest","249","0","249"
"ConsoleSupportTest\SimpleTextInputExProtocolTest","22","0","22"
"ConsoleSupportTest\SimpleInputProtocolTest","8","0","8"
"ConsoleSupportTest\SimpleOutputProtocolTest","128","0","128"
"ConsoleSupportTest\SimplePointerProtocolTest","6","0","6"
"ConsoleSupportTest\SerialIOProtocolTest","18","8","10"
"ConsoleSupportTest\AbsolutePointerProtocolTest","6","0","6"
"MediaAccessTest\SimpleFileSystemProtocolTest","646","1","645"
"MediaAccessTest\DiskIOProtocolTest","30","0","30"
"MediaAccessTest\DiskIO2ProtocolTest","33","1","32"
"MediaAccessTest\BlockIOProtocolTest","54","0","54"
"MediaAccessTest\BlockIO2ProtocolTest","20","0","20"
"MediaAccessTest\StorageSecurityCommandProtocolTest","6","0","6"
"MediaAccessTest\NVMEPassThruTest","16","0","16"
"MediaAccessTest\PartitionInfo","7","0","7"
"StringServiceTest\UnicodeCollation2ProtocolTest","12","0","12"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","45","0","45"
"PCIBusSupportTest\PCIIOProtocolTest","148","0","148"
"CompressionTest\DecompressProtocolTest","12","0","12"
"ResetNotificationProtocolTest","8","1","7"
"HIITest\HIIDatabaseProtocolTest","50","0","50"
"HIITest\HIIStringProtocolTest","36","0","36"
"HIITest\HIIImageProtocolTest","26","0","26"
"HIITest\HIIImageExProtocolTest","30","0","30"
"HIITest\HIIFontProtocolTest","15","0","15"
"HIITest\HIIConfigRoutingProtocolTest","26","1","25"
"HIITest\ConfigKeywordHandlerTest","21","0","21"
"Total service\Protocol","6278","64","6214"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"MediaAccessTest\PartitionInfo","","1","0","CAF4EA69-0573-4B98-A35B-9B0F95AAE2A4","PASS","PartitionInfo - Revision, Type, System test","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PartitionInfo/BlackBoxTest/PartitionInfoBBTestFunction.c:86:Revision - 0x00001000, Info - 2, System - 0","0x00010000","F53C074A-4625-4380-9091-4FFED7F00323"
"MediaAccessTest\PartitionInfo","","2","0","CAF4EA69-0573-4B98-A35B-9B0F95AAE2A4","PASS","PartitionInfo - Revision, Type, System test","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PartitionInfo/BlackBoxTest/PartitionInfoBBTestFunction.c:86:Revision - 0x00001000, Info - 2, System - 1","0x00010000","F53C074A-4625-4380-9091-4FFED7F00323"
"MediaAccessTest\PartitionInfo","","2","0","EC401AC3-EC7C-4B1E-8F1C-6DA0252CBFBC","PASS","PartitionInfo - Gpt.PartitionTypeGUID should be aligned with PartitionInfo->System","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PartitionInfo/BlackBoxTest/PartitionInfoBBTestFunction.c:126:Gpt.PartitionTypeGUID - ESP, System - 1","0x00010000","F53C074A-4625-4380-9091-4FFED7F00323"
"MediaAccessTest\PartitionInfo","","3","0","CAF4EA69-0573-4B98-A35B-9B0F95AAE2A4","PASS","PartitionInfo - Revision, Type, System test","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PartitionInfo/BlackBoxTest/PartitionInfoBBTestFunction.c:86:Revision - 0x00001000, Info - 2, System - 0","0x00010000","F53C074A-4625-4380-9091-4FFED7F00323"
"MediaAccessTest\PartitionInfo","","4","0","CAF4EA69-0573-4B98-A35B-9B0F95AAE2A4","PASS","PartitionInfo - Revision, Type, System test","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PartitionInfo/BlackBoxTest/PartitionInfoBBTestFunction.c:86:Revision - 0x00001000, Info - 2, System - 0","0x00010000","F53C074A-4625-4380-9091-4FFED7F00323"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.5.1","0","0","99A47923-D2E9-4114-BAC0-462BAA5AE5F3","PASS","UINCODE_COLLATION.FatToStr - FatToStr() with FatSize equal to the size of Fat String converts Fat string to Unicode string correctly","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:646: Fat='filename.c', FatToStr='filename.c', FatSize=10, StrSize=10","0x00010000","74A6E2FF-9629-4914-A071-C1BB1ADC8693"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.5.2","0","0","D5DC3C74-268A-499D-B38B-CB2D697119B3","PASS","UINCODE_COLLATION.FatToStr - FatToStr() with FatSize larger than the size of Fat String converts Fat string to Unicode string correctly","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:678: Fat='filename.c', FatToStr='filename.c', FatSize=12, StrSize=10","0x00010000","74A6E2FF-9629-4914-A071-C1BB1ADC8693"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.5.3","0","0","305C644E-002F-466F-AE41-4F22FFDA05FC","PASS","UINCODE_COLLATION.FatToStr - FatToStr() with FatSize smaller than the size of Fat String converts Fat string to Unicode string correctly","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:711: Fat='filename.c', FatToStr='filename', FatSize=8, StrSize=8","0x00010000","74A6E2FF-9629-4914-A071-C1BB1ADC8693"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.2.1","0","0","49F68D03-FEF1-460F-8EDD-27DB1522A3A3","PASS","UINCODE_COLLATION.MetaiMatch - MetaiMatch() returns correct status of pattern match","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:289: Index = 0, String='0Pzz@ ', Pattern='', Result=0, Expected Result=0","0x00010000","9E918792-90DA-47B2-A602-A3FE7911A27F"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.1.1","0","0","6A69637D-5ADA-40FD-9305-E106C9FFA1BD","PASS","UINCODE_COLLATION.StriColl - StriColl() with valid parameter returns correct status of comparison between String1 and String2","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:150: S1='', S2='', Result=0","0x00010000","DAD20219-422F-43DA-A1FA-85CBE2EDD9C9"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.3.1","0","0","A8A08682-F9D9-4471-8553-480B421D665B","PASS","UINCODE_COLLATION.StrLwr - StrLwr() convert the string to lowercase.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:394: Original=!"12ABCDEFGHIJKLMNOPQRSTUVWXYZx61b}~ -- ToLower=!"12abcdefghijklmnopqrstuvwxyzx61b}~","0x00010000","81CD6598-8530-4765-866C-CD674904642A"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.3.2","0","0","FB87853F-A47B-405B-855F-C6BE188BC330","PASS","UINCODE_COLLATION.StrLwr - StrLwr() convert the string to lowercase.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:417: Original=!"12abcdefghijklmnopqrstuvwxyzx61b}~ -- ToLower=!"12abcdefghijklmnopqrstuvwxyzx61b}~","0x00010000","81CD6598-8530-4765-866C-CD674904642A"
"StringServiceTest\UnicodeCollation2ProtocolTest","","0","0","7B8B1CB5-A3B9-410D-96F0-3D8896E9039A","PASS","EFI_UNICODE_COLLATION_PROTOCOL.StrToFat - Verification of StrToFat interface","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:844: Str='longfilename.c', StrSize=14, Parameter FatSize=14, Fat='LONGFILENAMECx', Return Fat Length= 255, LongFileNmae=0, Expected=0","0x00010000","089376CC-6530-4653-8052-606B8D5F564F"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.6.2","0","0","9C40C459-0A09-4382-8979-01EA3035DDF4","PASS","UINCODE_COLLATION.StrToFat - StrToFat() with FatSize larger than the size of Fat String converts Unicode string to Fat string correctly","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:889: Str='longfilename.c', StrSize=14, Parameter FatSize=16, Fat='LONGFILENAMECxxx', Return Fat Length= 255, LongFileNmae=0, Expected=0","0x00010000","089376CC-6530-4653-8052-606B8D5F564F"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.6.3","0","0","8D0E58CC-4494-4684-AF6C-DCF91B776C6B","PASS","UINCODE_COLLATION.StrToFat - StrToFat() with FatSize smaller than the size of Fat String converts Unicode string to Fat string correctly.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:934: Str='longfilename.c', StrSize=14, Parameter FatSize=12, Fat='LONGFILENAME', Return Fat Length= 255, ConversionFail=0, Expected=0","0x00010000","089376CC-6530-4653-8052-606B8D5F564F"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.4.1","0","0","6F390D73-E8C7-4032-B5CB-C0F6A818E187","PASS","UINCODE_COLLATION.StrUpr - StrUpr() convert the string to Uppercase.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:518: Original=!"12ABCDEFGHIJKLMNOPQRSTUVWXYZx61b}~-- ToUpper=!"12ABCDEFGHIJKLMNOPQRSTUVWXYZX61B}~","0x00010000","5A3A67B4-812D-4B1B-B303-3C3AC87B9718"
"StringServiceTest\UnicodeCollation2ProtocolTest","5.7.7.4.2","0","0","F559DBAA-DEB6-4591-BF16-F14B506CACAE","PASS","UINCODE_COLLATION.StrUpr - StrUpr() convert the string to Uppercase.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/UnicodeCollation2/BlackBoxTest/UnicodeCollation2BBTestFunction.c:540: Original=!"12ABCDEFGHIJKLMNOPQRSTUVWXYZX61B}~ -- ToUpper=!"12ABCDEFGHIJKLMNOPQRSTUVWXYZX61B}~","0x00010000","5A3A67B4-812D-4B1B-B303-3C3AC87B9718"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.12.2","0","0","193EFB14-0C2A-494D-A2FC-E128B0E7B65C","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.AllocateBuffer - AllocateBuffer() with invalid memory types -1 returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3802:Status - Invalid Parameter memory type - FFFFFFFFFFFFFFFFh","0x00010001","0792893E-82F6-45E3-AF70-AD6DBEE23742"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.12.3","0","0","08D81BB3-1DB0-4CE3-8EE0-A67C46F1A89B","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.AllocateBuffer - AllocateBuffer() with invalid memory types returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3855:Status - Invalid Parameter","0x00010001","0792893E-82F6-45E3-AF70-AD6DBEE23742"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.12.4","0","0","66BD765C-6B86-4A29-BE88-10ABFE5AEFBD","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.AllocateBuffer - AllocateBuffer() with HostAddress as NULL returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3887:Status - Invalid Parameter","0x00010001","0792893E-82F6-45E3-AF70-AD6DBEE23742"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.12.5","0","0","F2E8D30E-40D8-4823-97B2-0832119F78D3","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.AllocateBuffer - AllocateBuffer() with unsupported Attributes returns EFI_UNSUPPORTED.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3952:Status - Unsupported","0x00010001","0792893E-82F6-45E3-AF70-AD6DBEE23742"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.12.1","0","0","58A99166-FDBE-4963-B956-004F97CCE520","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.AllocateBuffer - AllocateBuffer() with valid parameter returns EFI_SUCCESS.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4335:Status - Success","0x00010001","4647DB6B-5CD5-4494-8EAD-477B562CC3DB"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.17.1","0","0","E65742BB-7693-4DE1-B07B-74FD64436BF5","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Configuration - Configuration() to get the resource list returns EFI_SUCCESS.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:5354:Status - Success","0x00010001","CF8B4010-0A5B-4B39-BCE1-863D90883AB6"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.17.2","0","0","A5982933-6B43-4947-B029-A8D56672AACE","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Configuration - Resource returned by Configuration points to a valid ACPI 2.0 QWord descriptor.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:5373: IsValidResourceDescriptor - 1","0x00010001","CF8B4010-0A5B-4B39-BCE1-863D90883AB6"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.9.7","0","0","0BCB82FB-7052-4D0F-AD73-D3E725AE46B5","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.CopyMem - CopyMem() with Width as EfiPciWidthMaximum returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3080:Status - Invalid Parameter,Width -EfiPciWidthMaximum,Src Address -0000000038000000h,Dst Address -0000000038000010h","0x00010001","69C65670-2A2E-427B-808C-A6668CA53D9C"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.9.8","0","0","9F7BF606-F898-42F2-B77F-C139A590656C","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.CopyMem - CopyMem() with Width as -1 returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3115:Status - Invalid Parameter,Width --1,Src Address -0000000038000000h,Dst Address -0000000038000010h","0x00010001","69C65670-2A2E-427B-808C-A6668CA53D9C"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.9.9","0","0","5762A830-4FD5-4858-821F-76AB12E9A980","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.CopyMem - CopyMem() with Width as EfiPciWidthFifoUintX returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3176:Status - Invalid Parameter","0x00010001","69C65670-2A2E-427B-808C-A6668CA53D9C"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.9.10","0","0","09154449-D6BC-47B3-8A47-25D30881A50F","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.CopyMem - CopyMem() with Width as EfiPciWidthFillUintX returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3234:Status - Invalid Parameter","0x00010001","69C65670-2A2E-427B-808C-A6668CA53D9C"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.14.1","0","0","8CE74CD6-0409-4513-98DD-3D0F96974FE8","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Flush - Flush() with valid parameter returns EFI_SUCCESS.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4682:Status - Success","0x00010001","55AD4514-121B-4EA0-B08A-2501E96D278C"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.13.1","0","0","F2EC6740-6416-4890-AFE6-AD6791F022AF","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.FreeBuffer - FreeBuffer() with valid parameter returns EFI_SUCCESS.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4588:Status - Success","0x00010001","66239BAB-EE3D-4B21-8AC7-C7FADB9CA942"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.15.7","0","0","8F25B1C3-4571-4101-95F1-36C1E583C023","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.GetAttributes - GetAttributes() with both Attributes and Supports as NULL returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:4050:Status - Invalid Parameter","0x00010001","A981AB75-11C2-44DE-94FB-93F05BCDBF87"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.15.1","0","0","8E661C40-F56F-4CE8-8E7E-F4072857F95B","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.GetAttributes - GetAttributes() to get current attributes and supported attributes returns EFI_SUCCESS.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4790:Status - Success","0x00010001","77C0DF14-733D-4BDF-BB8C-79C63A53DCD0"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.15.2","0","0","54D94C0E-70D7-4A7A-9E81-F5B1630593BE","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.GetAttributes - Current attributes must within Supported attributes.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4810:Current Attributes - 0000000000000000h, Supported Attributes - 0000000000000000h","0x00010001","77C0DF14-733D-4BDF-BB8C-79C63A53DCD0"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.15.3","0","0","727CABEC-1A1B-4E9D-B1DE-3B3EDA558444","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.GetAttributes - GetAttributes() to only get current attributes returns EFI_SUCCESS.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4840:Status - Success","0x00010001","77C0DF14-733D-4BDF-BB8C-79C63A53DCD0"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.15.4","0","0","66FB3230-A799-4EFE-89FA-BF86DF23B0F7","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.GetAttributes - The second call of GetAttributes()  returns the same current attributes as the first time.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4860:First Time Attributes - 0000000000000000h, Second Time Attributes - 0000000000000000h","0x00010001","77C0DF14-733D-4BDF-BB8C-79C63A53DCD0"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.15.5","0","0","2176073A-7DFA-463A-A2F1-ABBA9242E0EA","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.GetAttributes - GetAttributes() to only get supported attributes returns EFI_SUCCESS.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4890:Status - Success","0x00010001","77C0DF14-733D-4BDF-BB8C-79C63A53DCD0"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.15.6","0","0","5A5C6253-1202-4ABD-956F-230A1B2F45C0","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.GetAttributes - The second call of GetAttributes()  returns the same supported attributes as the first time.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestFunction_2.c:4910:First Time Attributes - 0000000000000000h, Second Time Attributes - 0000000000000000h","0x00010001","77C0DF14-733D-4BDF-BB8C-79C63A53DCD0"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.10.23","0","0","C79ED36F-E0B3-426C-85C1-7DFEB8CFDF07","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Map - Map() with invalid Operation as EfiPciOperationMaximum returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3492:Status - Invalid Parameter,Operation - 6","0x00010001","2231B12B-139F-40A1-99DC-8B525DBACB70"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.10.24","0","0","04B07426-3D17-4F18-8B1C-BD59AE99E5F8","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Map - Map() with invalid Operation as -1 returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3527: Status - Invalid Parameter,Operation - -1","0x00010001","2231B12B-139F-40A1-99DC-8B525DBACB70"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.10.25","0","0","F8A42643-912A-4731-B904-47BC877FDDCF","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Map - Map() with HostAddress as NULL returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3567:Status - Invalid Parameter,Operation -0","0x00010001","2231B12B-139F-40A1-99DC-8B525DBACB70"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.10.26","0","0","13513DBF-C4DA-4952-A437-44222813DBFD","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Map - Map() with NumberOfBytes as NULL returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3600:Status - Invalid Parameter,Operation -0","0x00010001","2231B12B-139F-40A1-99DC-8B525DBACB70"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.10.27","0","0","8BFB7A69-D816-4315-BE27-E2A90344698E","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Map - Map() with DeviceAddress as NULL returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3634:Status - Invalid Parameter,Operation -0","0x00010001","2231B12B-139F-40A1-99DC-8B525DBACB70"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.10.28","0","0","6FE65B18-7638-4584-B95F-902C0F80F69B","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Map - Map() with Mapping as NULL returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:3667:Status - Invalid Parameter,Operation -0","0x00010001","2231B12B-139F-40A1-99DC-8B525DBACB70"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.3.8","0","0","28BA919B-BC04-464A-BBA0-87EEDAC10F33","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Mem.Read - Mem.Read() with Width as EfiPciWidthMaximum returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:853:Status - Invalid Parameter,Width -EfiPciWidthMaximum,Address -0000000038000000h","0x00010001","9E849309-A871-49E1-AB3C-DEA1BAEB64F2"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.3.9","0","0","BC884213-E80E-41E6-8169-BC467D534086","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Mem.Read - Mem.Read() with Width as -1 returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:887:Status - Invalid Parameter,Width --1,Address -0000000038000000h","0x00010001","9E849309-A871-49E1-AB3C-DEA1BAEB64F2"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.3.10","0","0","8CC49D7F-87BE-4A2E-82C0-CEC2BFCBB13D","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Mem.Read - Mem.Read() with buffer as NULL returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:922:Status - Invalid Parameter,Width -EfiPciWidthUint8,Address -0000000038000000h","0x00010001","9E849309-A871-49E1-AB3C-DEA1BAEB64F2"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","5.8.1.4.9","0","0","26AA2144-1C21-4499-B4DB-DAF48007FAD9","PASS","EFI_PCI_ROOT_BRIDGE_IO_PROTOCOL.Mem.Write - Mem.Write() with Width as EfiPciWidthMaximum returns EFI_INVALID_PARAMETER.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/PciRootBridgeIo/BlackBoxTest/PciRootBridgeIoBBTestConformance.c:1229:Status - Invalid Parameter,Width -EfiPciWidthMaximum,Address -0000000038000000h","0x00010001","E488DB01-68F8-4B31-A77E-3ABB8B2B32D6"
